Loading files... 
  Starting triples_ja.txt
  Finished triples_ja.txt, still running: 0
Loaded 77214 facts in 0.45 s using -66 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.8
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 2 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <20350>  ?a   => ?a  <20618>  ?b	0.8	0.782608696	0.996047431	252	322	253	?b	0.0	0.0	0.0
?b  <20523>  ?a   => ?a  <20727>  ?b	0.354330709	0.357142857	0.97826087	45	126	46	?a	0.0	0.0	0.0
?b  <20182>  ?a   => ?a  <20617>  ?b	0.622298066	0.589439655	0.923986486	547	928	592	?b	0.0	0.0	0.0
?a  <20647>  ?b   => ?a  <19903>  ?b	0.084615385	1	1	11	11	11	?b	0.0	0.0	0.0
?a  <20736>  ?b   => ?a  <19903>  ?b	0.038461538	1	1	5	5	5	?b	0.0	0.0	0.0
?a  <20869>  ?b   => ?a  <19903>  ?b	0.023076923	1	1	3	3	3	?b	0.0	0.0	0.0
?a  <19937>  ?b   => ?a  <19903>  ?b	0.023076923	1	1	3	3	3	?b	0.0	0.0	0.0
?a  <20300>  ?b   => ?a  <20506>  ?b	0.017310253	0.342105263	1	13	38	13	?b	0.0	0.0	0.0
?b  <20171>  ?a   => ?a  <21040>  ?b	0.038674033	0.175	0.875	7	40	8	?a	0.0	0.0	0.0
?a  <20479>  ?b   => ?a  <21040>  ?b	0.027624309	0.178571429	1	5	28	5	?a	0.0	0.0	0.0
?a  <21089>  ?b   => ?a  <21040>  ?b	0.022099448	0.042553191	0.8	4	94	5	?a	0.0	0.0	0.0
?b  <20641>  ?a   => ?a  <20256>  ?b	0.041152263	0.303030303	0.909090909	10	33	11	?a	0.0	0.0	0.0
?b  <20218>  ?a   => ?a  <20256>  ?b	0.024691358	0.461538462	0.857142857	6	13	7	?a	0.0	0.0	0.0
?a  <20714>  ?b   => ?a  <20256>  ?b	0.057613169	0.636363636	0.875	14	22	16	?a	0.0	0.0	0.0
?b  <20386>  ?a   => ?a  <20721>  ?b	0.033472803	0.8	0.888888889	8	10	9	?a	0.0	0.0	0.0
?b  <19851>  ?a   => ?a  <19958>  ?b	0.031007752	0.142857143	1	4	28	4	?b	0.0	0.0	0.0
?b  <20286>  ?a   => ?a  <19958>  ?b	0.015503876	0.001313198	1	2	1523	2	?b	0.0	0.0	0.0
?b  <20061>  ?a   => ?a  <20613>  ?b	0.053140097	0.494382022	0.846153846	44	89	52	?a	0.0	0.0	0.0
?a  <20287>  ?b   => ?a  <20613>  ?b	0.016908213	0.05511811	0.933333333	14	254	15	?a	0.0	0.0	0.0
?b  <20494>  ?a   => ?a  <20361>  ?b	0.011940299	0.173913043	1	4	23	4	?a	0.0	0.0	0.0
?b  <21014>  ?a   => ?a  <20143>  ?b	0.020785219	0.545454545	0.947368421	18	33	19	?a	0.0	0.0	0.0
?b  <20324>  ?a   => ?a  <20143>  ?b	0.026558891	0.489361702	0.92	23	47	25	?a	0.0	0.0	0.0
?b  <20631>  ?a   => ?a  <20665>  ?b	0.644230769	0.637589215	0.912599319	804	1261	881	?a	0.0	0.0	0.0
?b  <19910>  ?a   => ?a  <20088>  ?b	0.01025641	1	1	2	2	2	?a	0.0	0.0	0.0
?a  <20675>  ?b   => ?a  <20225>  ?b	0.858490566	0.532163743	1	91	171	91	?a	0.0	0.0	0.0
?a  <20754>  ?b   => ?a  <20442>  ?b	0.034161491	0.152777778	1	11	72	11	?b	0.0	0.0	0.0
?a  <19894>  ?b   => ?a  <20442>  ?b	0.01552795	0.454545455	1	5	11	5	?b	0.0	0.0	0.0
?b  <21064>  ?a   => ?a  <21064>  ?b	0.021634615	0.021634615	1	9	416	9	?b	0.0	0.0	0.0
?b  <20522>  ?a   => ?a  <20081>  ?b	0.038297872	0.36	0.9	9	25	10	?a	0.0	0.0	0.0
?b  <21092>  ?a   => ?a  <19892>  ?b	0.022857143	0.125	1	4	32	4	?a	0.0	0.0	0.0
?a  <20781>  ?b   => ?a  <19892>  ?b	0.017142857	1	1	3	3	3	?a	0.0	0.0	0.0
?b  <20955>  ?a   => ?a  <20960>  ?b	0.032653061	0.421052632	0.888888889	8	19	9	?b	0.0	0.0	0.0
?b  <20960>  ?a   => ?a  <20960>  ?b	0.726530612	0.726530612	0.972677596	178	245	183	?b	0.0	0.0	0.0
?b  <20288>  ?a   => ?a  <20169>  ?b	0.61420765	0.637188209	0.930463576	562	882	604	?a	0.0	0.0	0.0
?b  <20727>  ?a   => ?a  <20523>  ?b	0.357142857	0.354330709	0.97826087	45	127	46	?a	0.0	0.0	0.0
