Loading files... 
  Starting triples_en.txt
  Finished triples_en.txt, still running: 0
Loaded 95142 facts in 0.93 s using 32 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Default mining assistant that defines support by counting support on both head variables
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.8
Constants in the arguments of relations are disabled
Lossless (query refinement) heuristics enabled
Starting the mining phase... Using 2 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable	Std. Lower Bound	PCA Lower Bound	PCA Conf estimation
?b  <19786>  ?a   => ?a  <19657>  ?b	0.352941176	0.421052632	0.857142857	48	114	56	?a	0.0	0.0	0.0
?b  <19902>  ?a   => ?a  <20200>  ?b	0.032	0.083333333	0.8	4	48	5	?a	0.0	0.0	0.0
?b  <20524>  ?a   => ?a  <20200>  ?b	0.016	0.071428571	1	2	28	2	?a	0.0	0.0	0.0
?b  <19623>  ?a   => ?a  <20200>  ?b	0.016	0.090909091	1	2	22	2	?a	0.0	0.0	0.0
?b  <19793>  ?a   => ?a  <20694>  ?b	0.024193548	0.066666667	1	3	45	3	?b	0.0	0.0	0.0
?a  <20003>  ?b   => ?a  <20694>  ?b	0.14516129	1	1	18	18	18	?b	0.0	0.0	0.0
?b  <20787>  ?a   => ?a  <19980>  ?b	0.03960396	0.005586592	1	4	716	4	?b	0.0	0.0	0.0
?a  <20611>  ?b   => ?a  <20581>  ?b	0.80952381	0.066176471	0.869318182	153	2312	176	?a	0.0	0.0	0.0
?a  <20581>  ?b   => ?a  <20611>  ?b	0.066176471	0.80952381	0.921686747	153	189	166	?a	0.0	0.0	0.0
?b  <20486>  ?a   => ?a  <19849>  ?b	0.445859873	0.443037975	0.853658537	70	158	82	?a	0.0	0.0	0.0
?b  <19588>  ?a   => ?a  <19958>  ?b	0.794823232	0.760954971	0.895129755	2518	3309	2813	?b	0.0	0.0	0.0
?a  <20053>  ?b   => ?a  <19958>  ?b	0.314078283	0.502779181	0.831939799	995	1979	1196	?b	0.0	0.0	0.0
?b  <20076>  ?a   => ?a  <19737>  ?b	0.038116592	0.404761905	0.85	17	42	20	?a	0.0	0.0	0.0
?a  <19755>  ?b   => ?a  <20776>  ?b	0.016877637	0.012698413	1	4	315	4	?a	0.0	0.0	0.0
?b  <20039>  ?a   => ?a  <19628>  ?b	0.057167235	0.697916667	0.917808219	67	96	73	?a	0.0	0.0	0.0
?b  <20517>  ?a   => ?a  <19628>  ?b	0.038395904	0.9375	1	45	48	45	?a	0.0	0.0	0.0
?b  <20041>  ?a   => ?a  <19628>  ?b	0.016211604	0.678571429	0.95	19	28	20	?a	0.0	0.0	0.0
?b  <20334>  ?a   => ?a  <19628>  ?b	0.015358362	0.037422037	1	18	481	18	?a	0.0	0.0	0.0
?b  <19636>  ?a   => ?a  <19628>  ?b	0.015358362	0.818181818	1	18	22	18	?a	0.0	0.0	0.0
?b  <19996>  ?a   => ?a  <19628>  ?b	0.013651877	0.8	1	16	20	16	?a	0.0	0.0	0.0
?a  <19727>  ?b   => ?a  <20667>  ?b	0.013986014	0.002808989	1	2	712	2	?b	0.0	0.0	0.0
?a  <19756>  ?b   => ?a  <20667>  ?b	0.048951049	0.026022305	0.875	7	269	8	?b	0.0	0.0	0.0
?a  <20367>  ?b   => ?a  <20141>  ?b	0.077586207	0.5	0.9	9	18	10	?a	0.0	0.0	0.0
?a  <20301>  ?b   => ?a  <19844>  ?b	0.010854817	0.727272727	0.888888889	8	11	9	?a	0.0	0.0	0.0
?b  <19743>  ?a   => ?a  <19952>  ?b	0.034782609	0.8	1	4	5	4	?a	0.0	0.0	0.0
?b  <19712>  ?a   => ?a  <20882>  ?b	0.0125	0.666666667	1	2	3	2	?a	0.0	0.0	0.0
?b  <20800>  ?a   => ?a  <20800>  ?b	0.903225806	0.903225806	0.903225806	168	186	186	?b	0.0	0.0	0.0
?a  <19892>  ?b   => ?a  <19840>  ?b	0.047169811	0.416666667	0.833333333	5	12	6	?a	0.0	0.0	0.0
?b  <20393>  ?a   => ?a  <20443>  ?b	0.134831461	0.923076923	1	24	26	24	?b	0.0	0.0	0.0
?b  <20860>  ?a   => ?a  <20443>  ?b	0.573033708	0.728571429	1	102	140	102	?b	0.0	0.0	0.0
?b  <20053>  ?a   => ?a  <20443>  ?b	0.056179775	0.005053057	1	10	1979	10	?b	0.0	0.0	0.0
?a  <19857>  ?b   => ?a  <20443>  ?b	0.056179775	0.005112474	1	10	1956	10	?b	0.0	0.0	0.0
?b  <19714>  ?a   => ?a  <20334>  ?b	0.147609148	0.97260274	1	71	73	71	?a	0.0	0.0	0.0
?b  <19884>  ?a   => ?a  <20858>  ?b	0.031657356	0.618181818	0.971428571	34	55	35	?a	0.0	0.0	0.0
?b  <20438>  ?a   => ?a  <20858>  ?b	0.010242086	0.25	1	11	44	11	?a	0.0	0.0	0.0
?a  <20042>  ?b   => ?a  <20221>  ?b	0.780587276	0.154329947	0.887755102	957	6201	1078	?a	0.0	0.0	0.0
?b  <20812>  ?a   => ?a  <20389>  ?b	0.040229885	0.011945392	1	7	586	7	?b	0.0	0.0	0.0
?a  <20858>  ?b   => ?a  <19924>  ?b	0.161537182	0.904096834	0.910881801	971	1074	1066	?a	0.0	0.0	0.0
?b  <20268>  ?a   => ?a  <19923>  ?b	0.129032258	0.040920716	0.888888889	16	391	18	?a	0.0	0.0	0.0
?a  <20429>  ?b   => ?a  <19923>  ?b	0.032258065	1	1	4	4	4	?a	0.0	0.0	0.0
?b  <19877>  ?a   => ?a  <20853>  ?b	0.26044226	0.746478873	0.844621514	212	284	251	?b	0.0	0.0	0.0
?b  <20812>  ?a   => ?a  <20853>  ?b	0.443488943	0.616040956	0.893564356	361	586	404	?b	0.0	0.0	0.0
?a  <20439>  ?b   => ?a  <20853>  ?b	0.014742015	0.75	0.857142857	12	16	14	?b	0.0	0.0	0.0
?b  <20678>  ?a   => ?a  <20744>  ?b	0.011111111	0.03030303	1	2	66	2	?b	0.0	0.0	0.0
?b  <20081>  ?a   => ?a  <20744>  ?b	0.022222222	0.00128783	0.8	4	3106	5	?b	0.0	0.0	0.0
?b  <20613>  ?a   => ?a  <20081>  ?b	0.04893754	0.921212121	0.993464052	152	165	153	?a	0.0	0.0	0.0
?b  <20633>  ?a   => ?a  <20081>  ?b	0.02704443	0.84	1	84	100	84	?a	0.0	0.0	0.0
?b  <20710>  ?a   => ?a  <20081>  ?b	0.062459755	0.889908257	0.946341463	194	218	205	?a	0.0	0.0	0.0
