13582	13856
15842	18650
18309	17452
10369	10052
13502	705
15153	14811
8980	9497
9114	11785
14911	17268
4361	6190
17061	5020
12540	10304
11959	18397
517	17785
8481	12977
5777	4005
14044	14047
10704	1983
4902	6175
12	16714
705	10283
11477	13101
10091	12239
9818	7900
1708	11133
10212	17283
10586	14998
8918	18532
359	9770
11774	3770
117	15985
10638	14418
16355	5301
18212	5276
13486	11755
2209	4262
6794	2585
4226	903
12811	15598
3928	9911
6597	13667
9729	3036
13253	5013
12101	14651
16052	19272
15383	11091
327	584
5378	10138
10492	2806
18219	16113
6325	5118
13894	17961
2250	12345
11461	2270
2126	16700
4952	12535
12659	15300
6725	16426
5585	2655
12182	11600
10626	1554
3612	13968
1483	11197
6147	11029
2232	3157
12343	2874
8883	15551
3671	1486
2608	9609
5990	5738
13514	10793
1150	16261
8148	17639
7445	7501
8360	6365
12875	1356
9201	7743
15956	9490
17644	1696
13096	16646
18281	6775
12852	13626
9140	1945
16849	18142
13520	12105
12480	3999
7428	13775
4275	14557
18075	14306
12043	8039
14663	12983
11052	10812
13895	8892
13346	11
18654	228
11137	13658
10962	14157
7834	15960
9946	18759
12763	12700
18397	4470
17554	1351
17355	13666
4132	8041
2699	13011
9566	15589
10226	8842
16498	5035
5455	6013
14910	10298
2263	8361
18639	16733
17922	17656
6691	10713
3043	13984
14423	3407
19208	3978
18964	9718
19386	11180
14687	8992
14966	12348
17171	1999
17961	7820
15181	8128
5474	3605
8063	12281
7219	3244
13068	7427
1751	8475
13656	4725
1147	14799
5943	4735
13641	7663
17607	8138
2068	7773
14858	9605
10675	19175
16193	9960
6945	10284
14300	6949
2899	17266
3840	4980
14974	9527
2184	16705
7217	3970
19203	1613
13141	1270
13663	4298
10749	13994
6646	17199
8183	3309
14756	8019
12339	5965
13989	11494
18316	10029
5498	6202
7224	3878
3231	306
3350	5431
1671	10443
18524	13161
6487	6975
2845	19137
9687	19000
19357	1256
4	17820
11693	4790
16686	14763
15420	15371
336	15519
2473	17172
7835	14285
16688	7008
3103	13880
16273	3708
2173	6416
3576	6142
2696	5423
796	3801
19336	9335
7071	11496
17356	19268
11764	6399
12053	8049
3323	16991
19221	18707
6282	10612
1595	3510
5	5765
9415	15330
8592	16400
3697	16752
12454	16929
9276	19550
12486	5461
3092	9006
8574	6450
5746	7121
10365	2386
7534	4555
5944	11800
6791	5153
14615	16112
15589	6381
1854	3647
5178	18857
6358	14603
10923	17607
6527	18921
1748	4524
4266	17571
8309	7909
12261	7163
17794	16750
10310	4853
5537	8249
1363	18758
14531	13637
1083	10818
4592	14972
17329	10045
12798	999
8097	7408
5961	19518
17820	17230
12237	18362
1132	14307
4588	825
19284	5861
9529	15148
11186	13479
5115	17859
13249	19362
2675	11881
2893	2608
1848	4350
10710	6814
2977	16125
12991	11480
13273	6131
2739	5598
8307	7576
10861	13357
576	8616
9002	8729
1813	13597
16547	11462
7091	4992
1695	6517
993	13744
2571	5578
14264	13607
8877	3086
13613	18069
9208	14608
17268	18066
14307	8187
11617	16277
10012	17749
1945	4974
3710	18311
1737	8232
13662	8392
2715	17488
9699	13253
9538	8791
3121	5494
427	12834
1878	5788
15787	18611
17242	2931
13083	603
7465	4312
6771	1033
5153	8447
6079	9927
19238	655
7700	12981
12841	5213
4165	18554
4504	4580
16964	12133
15681	17905
14888	13050
11252	9283
11339	10776
6953	13373
14788	2894
2667	19091
5043	18542
19030	3029
2234	1634
10496	2388
368	16447
8246	2019
9790	7594
14296	15343
13967	4905
2511	10843
13272	13019
5656	14235
8468	10219
12077	8778
9480	17147
4865	5714
16751	4854
16510	15091
12104	3908
9575	17534
17012	9663
13412	12802
2260	15999
9919	10166
15414	7192
18489	19161
6519	18160
6151	14795
1104	3761
9600	18824
5723	11204
3013	8633
183	19202
18782	11137
11922	6549
2621	14211
15930	19053
4626	3101
6334	16538
8235	12223
14899	6953
8973	17575
17282	17305
13378	1180
17847	18008
6510	8422
3730	4881
9054	13330
1526	12108
3340	3149
8436	10004
13873	198
14453	9366
12012	10757
16933	2456
7135	12811
8696	11465
14710	10544
13125	9677
18049	2079
16278	19399
12401	13656
13577	13015
1360	8414
8695	1534
13089	4844
7126	2236
7162	695
11655	8917
1828	1262
10172	17705
11277	9015
6782	13086
8398	16470
16597	10247
11807	5149
10644	7718
524	15060
8779	2888
16322	13288
12648	18632
2570	1720
372	4900
15833	14883
27	8417
9605	6187
68	8460
12741	820
3226	12650
9706	18315
5250	3234
18016	2802
17478	1938
12280	5672
14907	17451
921	1601
15103	5357
1013	15237
7491	8912
4833	5491
11685	11094
15257	1701
16298	4147
17047	6617
9120	4043
13356	1210
3492	5274
4037	14506
2552	4373
10349	14732
17668	4074
6665	16579
6951	4113
4402	5857
18364	5043
14337	18314
9138	15795
10468	12947
14263	19289
243	13133
6174	10290
10976	13284
13611	6601
7986	16726
14919	8844
9481	18382
8424	6939
5643	14706
9607	15892
5275	4210
4268	6210
2950	4086
17350	15528
15795	1344
9257	9618
6824	13778
9993	2225
12170	12123
16518	6823
15933	9908
15407	18593
750	11967
16086	7061
11643	14596
12516	6228
11621	10446
10964	10062
10372	2095
5508	9269
16368	17657
1335	12837
15783	7924
10995	4653
8920	12156
2358	13436
269	2925
16320	4630
6641	16808
15811	19108
5046	8807
1105	9549
14519	476
10989	14620
12895	2792
11062	14452
15794	7847
14925	14296
7122	2699
6954	6565
1872	12173
15691	11119
12633	13220
14366	14741
14660	4745
7001	11672
1821	13659
1577	12768
3881	11294
10837	17708
9271	5025
10143	6170
6922	10295
18222	18055
6135	189
819	13364
3297	8418
317	11939
8585	15915
8181	18401
10782	10880
16978	14937
14182	14162
2904	14698
10259	1633
13087	19199
802	15537
16264	18659
4958	15560
7210	18474
15618	2134
4965	12800
16758	12714
14607	3912
15118	19334
2136	5088
7793	7584
16403	11771
2383	5673
234	14573
15419	11773
16801	7658
15868	12501
3487	16080
11690	18969
14739	5171
2348	13870
18521	15530
19168	7869
1780	5177
12036	4768
10217	6128
12542	9669
10255	8742
8678	4480
13981	3276
15524	3542
4230	1572
2004	17158
9561	13324
17761	7166
18229	14050
18057	1431
10423	8046
11726	86
18401	10842
4019	12797
12557	5355
717	14882
17823	9024
10439	7600
13632	10658
15452	8808
5081	18777
7218	1097
8372	821
3933	9050
366	8094
13621	11868
3060	1095
18329	16271
17850	16119
2324	11844
3942	15980
17271	1841
6363	265
8239	4173
5323	100
10479	8580
11326	7051
17303	16670
12747	18406
9385	7530
5927	16221
15139	5122
9658	15218
1571	1112
7980	14586
6430	7076
13321	9591
17437	6080
5901	12128
2613	11464
14392	3302
3192	13946
18835	15259
2219	914
9108	15962
7923	2224
1058	11960
15244	12392
4521	4212
16832	17389
6561	5852
5947	10703
13172	16236
