7928	14581	276
17351	9973	741
4996	3631	427
1146	10903	307
10484	5491	140
15198	2499	478
2824	14113	219
4667	10243	332
17197	9903	733
14751	12083	57
10541	56	646
8430	1032	20
13564	9801	858
9365	1642	110
3801	5249	429
11430	11185	425
12630	3689	276
6294	5815	307
16674	1053	37
494	8383	330
12789	12736	357
8181	5473	425
6599	5934	837
5322	5181	282
15680	9650	140
12991	2162	140
2475	9678	10
2786	5423	548
10413	11506	499
929	11475	427
17413	3888	524
114	10526	151
1279	18974	110
6216	3421	20
17745	8748	226
5443	7189	57
14226	14994	897
6973	1431	142
16916	7627	267
5293	18352	411
19036	16694	477
167	10118	828
7736	16219	276
3760	2243	20
6899	4913	276
13715	8671	372
19393	2735	478
18679	2417	57
1641	10433	219
1170	14107	691
10106	381	57
8491	13548	693
2764	6405	693
13941	4942	282
2477	7946	219
7481	1683	35
16951	7244	288
4228	15186	333
15161	6236	117
5737	15906	96
17652	9640	216
10500	14366	300
16033	12419	634
17817	14052	427
3592	554	858
14261	15451	226
14598	14569	650
12874	9950	216
17112	4911	20
19594	9977	96
16883	4911	20
19506	4994	151
11091	19100	181
19315	6997	216
13678	14727	121
17624	11763	817
19459	8781	693
7752	5531	693
8346	5078	112
12259	7320	182
4350	8598	637
19594	8107	96
9353	7055	524
12606	11267	460
18509	17656	57
15713	14644	741
8679	13508	20
3645	2923	505
17804	15390	219
1789	4228	579
8341	12700	20
2381	14921	733
13450	11445	691
10335	6784	372
13196	12226	837
14894	7973	291
12433	10551	182
4266	17327	196
2004	3559	181
7467	8338	129
4130	14305	492
1722	11379	728
2675	2417	57
2101	8688	200
8245	12204	91
714	8290	393
18280	7043	182
1508	5648	682
173	15220	559
16675	13569	411
9545	19073	411
6145	7380	82
18430	18352	411
11455	19170	524
7751	6983	20
9203	19109	205
1818	5532	758
17102	17779	276
400	18107	20
14776	14821	639
5781	3421	20
3386	15987	372
10160	14052	276
4311	611	637
14456	16322	422
10346	6070	553
13719	649	485
7830	17126	427
3305	7844	138
16230	8700	559
5358	6078	481
11088	14202	650
2614	16567	411
19085	13666	388
14754	8847	57
7059	7950	411
10710	15674	858
6198	14000	897
13429	11786	566
14799	16899	559
282	17101	414
4445	13978	694
12249	17682	276
7337	10442	353
6341	8748	226
5517	7176	151
9333	17808	765
8922	864	61
2208	2081	57
618	13302	493
1835	2122	694
15067	1230	639
883	6056	216
12039	4457	837
15060	1054	728
14527	11601	386
16408	6580	757
5036	13912	276
9350	14850	425
4643	13162	524
14652	12213	411
16391	6143	372
19660	3853	741
4617	10718	637
1179	12582	485
11133	19130	151
10361	6517	858
1231	3748	362
14463	17481	693
7331	7306	82
12530	9160	549
19319	6154	637
4805	12244	333
3233	19073	411
17576	2411	353
13155	3997	733
19044	8331	758
17503	5971	10
12233	356	842
16942	8444	492
15068	15325	372
3312	5630	837
14761	17218	422
14958	934	634
1998	4096	369
18908	10355	276
6708	10957	20
14213	11779	67
14165	2431	182
5025	15598	607
1125	18362	175
3883	19610	219
13952	17341	108
5725	10872	333
1335	6958	897
7993	9110	571
2337	11801	733
7778	8538	112
17016	3350	276
17634	14178	274
7774	1480	425
16472	3999	761
14936	19207	333
1826	5005	353
10041	3405	388
5034	8115	91
18615	19635	425
17652	11957	276
9738	6435	650
4521	19037	10
10620	16164	650
751	4911	20
6193	3074	61
10830	6501	142
18795	6018	20
2088	1773	117
4641	14769	20
2124	8469	559
8750	9556	78
7829	2303	411
16432	15420	733
8236	7221	691
11378	3881	216
17676	11819	799
14576	3986	898
5971	10163	411
6406	9048	216
13456	9002	524
14299	512	411
18139	10640	637
18623	5560	372
11804	10517	146
11168	8007	440
18021	9548	372
12836	19444	219
5754	8748	302
7345	17741	817
802	6253	817
12191	10885	741
8927	13927	182
2493	12045	57
15539	11276	521
19033	3999	525
3809	19293	858
13190	19164	693
4736	1696	897
21	4941	136
4595	3071	276
8242	14096	10
2336	2942	181
2324	8755	837
6104	10097	372
13977	7065	140
12459	10918	624
16	15668	57
15804	6958	897
6584	13666	388
19223	13465	637
7785	14760	20
8069	16926	559
15771	12295	276
11647	11178	1
18049	3920	524
1373	13756	20
4326	14167	427
18549	16710	639
2455	15107	216
4214	18033	788
16995	10966	425
8204	2763	411
5879	4155	425
11813	7119	20
8657	879	110
10795	1180	691
3333	19208	624
5069	9703	738
2438	13128	425
11006	753	411
10392	7947	362
15998	10204	422
15258	2331	20
15925	8981	557
10622	17370	694
2522	10404	20
10567	14113	733
11359	15356	140
16505	5304	222
5756	11406	353
1183	18960	728
5454	7509	115
1609	4559	32
2302	11250	182
7072	5073	646
19033	15170	112
10205	2460	219
14010	7582	493
17258	549	372
10165	15674	478
7263	14202	20
1232	8755	219
6463	9160	549
19045	1529	372
4310	7453	91
6779	3888	837
16298	2695	427
4383	8231	650
6540	3296	20
1528	10680	61
9810	4457	386
3899	7845	219
12214	9068	737
7218	12583	411
11147	14490	492
16776	611	694
6459	10216	372
2515	1683	35
9236	1217	411
13282	15620	43
16226	10301	524
18234	13515	282
1497	1517	216
14320	11582	898
656	6849	20
11450	14712	157
3977	9158	639
16116	2331	20
1969	2501	766
1013	9390	20
1288	14933	897
18726	11088	20
861	12583	411
2891	19130	151
11311	16420	639
16312	15700	93
17762	7914	142
11256	13718	799
16035	14622	480
17749	5171	216
12072	5350	425
14728	10995	216
2960	1683	35
2283	18671	521
3671	7329	266
1495	2404	902
10136	3529	427
9205	13549	252
6300	8912	802
11377	14741	492
11961	6462	305
9833	17838	411
13070	14918	333
365	12348	427
17407	12583	411
11858	8638	411
1318	19239	333
8811	9896	411
12677	10957	20
15194	4279	639
17537	1394	20
11421	8713	422
18334	14093	425
2222	6097	524
17708	5310	524
11783	275	559
282	2093	521
17347	11649	694
4228	875	196
2609	14202	650
3026	5043	196
16790	3980	617
18244	2482	151
6378	3345	10
9011	4569	858
13302	12950	637
17727	753	411
6019	19401	559
4939	15215	590
5842	5676	390
14129	4309	493
5763	1462	728
406	1452	830
8970	8748	219
5042	7643	897
6599	17320	333
13676	8462	521
8963	14477	682
11568	1610	216
13021	9472	790
5594	12349	57
8302	5259	305
5260	5980	372
15647	14256	151
17918	7050	521
7524	8233	682
1748	18317	425
6617	9297	140
14502	206	682
2609	2305	457
1246	15156	216
5776	9092	276
